sample,strategy,strategy_price_type,return_basis,round_trip_ticks,nobs,trade_count,trade_rate,avg_daily,avg_ann,avg_ann_pct,vol_ann,vol_ann_pct,sharpe,success_rate,max_drawdown,avg_trade_return,avg_trade_return_bp,t_stat_mean,p_value_mean,symbol
replication,timing_rONFH,executable_next_open,r_LH_executable,3,2424,2424,1.0,-0.0003333549317901,-0.0840054428111161,-8.400544281111616,0.0479467625546627,4.794676255466278,-1.752056621452676,0.400990099009901,-0.6240556943750645,-0.0003333549317901,-3.3335493179014346,-5.433931689655928,6.063217883323091e-08,ES.v.0
replication,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,3,2424,1805,0.7446369636963697,-0.000179046362802,-0.0451196834261061,-4.511968342610616,0.0418482344309598,4.1848234430959845,-1.0781741222689685,0.3003300330033003,-0.4588404139010403,-0.000179046362802,-1.790463628020086,-3.3439127812585707,0.0008386289091328,ES.v.0
replication,timing_rROD,executable_next_open,r_LH_executable,3,2424,2424,1.0,-0.0002186956853972,-0.0551113127200956,-5.511131272009565,0.0478825847693876,4.788258476938767,-1.1509677889262455,0.4129537953795379,-0.5197446762402116,-0.0002186956853972,-2.18695685397205,-3.5696793502221142,0.0003643673688631,ES.v.0
replication,always_long,executable_next_open,r_LH_executable,3,2424,2424,1.0,-0.000423393971699,-0.1066952808681502,-10.66952808681502,0.0479041473787669,4.79041473787669,-2.227266044932092,0.4113036303630363,-0.6629112408993814,-0.000423393971699,-4.233939716990087,-6.9077742092697685,6.268319197033634e-12,ES.v.0
oos,timing_rONFH,paper_statistical,r_LH,0,1224,1224,1.0,-4.974364443578829e-05,-0.0125353983978186,-1.253539839781865,0.041481465666796,4.148146566679609,-0.3021927551574589,0.4869281045751634,-0.1336470649205307,-4.974364443578829e-05,-0.4974364443578829,-0.6660003950200782,0.5055364450874631,ES.v.0
oos,timing_agree_ONFH_ROD,paper_statistical,r_LH,0,1224,871,0.7116013071895425,-2.190730294941848e-05,-0.0055206403432534,-0.5520640343253457,0.034558554871688,3.4558554871688068,-0.1597474305204878,0.3488562091503268,-0.0741105708699553,-2.190730294941848e-05,-0.2190730294941848,-0.3520661895903211,0.7248492780623241,ES.v.0
oos,timing_rROD,paper_statistical,r_LH,0,1224,1224,1.0,8.316274270390665e-06,0.0020957011161384,0.2095701116138447,0.0414887770059395,4.148877700593953,0.0505124823476581,0.4967320261437908,-0.1351757903981599,8.316274270390665e-06,0.0831627427039066,0.111324089088291,0.9113776203274716,ES.v.0
oos,always_long,paper_statistical,r_LH,0,1224,1224,1.0,-6.183926455032382e-05,-0.0155834946666816,-1.5583494666681603,0.0414773625043556,4.147736250435567,-0.3757108390159844,0.4828431372549019,-0.131678417841584,-6.183926455032382e-05,-0.6183926455032381,-0.8280263604188345,0.4078171190031185,ES.v.0
oos,timing_rONFH,paper_statistical,r_LH,1,1224,1224,1.0,-0.0001027132510657,-0.0258837392685638,-2.5883739268563892,0.0414833517813475,4.148335178134757,-0.623954867605519,0.4779411764705882,-0.1506310596939525,-0.0001027132510657,-1.0271325106572973,-1.3751295529353436,0.1693431285442159,ES.v.0
oos,timing_agree_ONFH_ROD,paper_statistical,r_LH,1,1224,871,0.7116013071895425,-5.9759957213274507e-05,-0.0150595092177451,-1.5059509217745175,0.0345587525923529,3.4558752592352993,-0.4357654165178832,0.3423202614379085,-0.0898453562824009,-5.9759957213274507e-05,-0.5975995721327451,-0.9603802029793156,0.3370537245757834,ES.v.0
oos,timing_rROD,paper_statistical,r_LH,1,1224,1224,1.0,-4.465333235955081e-05,-0.0112526397546068,-1.1252639754606804,0.0414797507251132,4.147975072511324,-0.2712803128730973,0.4877450980392157,-0.1567360572663995,-4.465333235955081e-05,-0.4465333235955081,-0.5978726903645086,0.5500355729695596,ES.v.0
oos,always_long,paper_statistical,r_LH,1,1224,1224,1.0,-0.0001148088711802,-0.0289318355374268,-2.8931835537426847,0.0414816572599261,4.148165725992615,-0.6974609369181783,0.4754901960784313,-0.155012716242731,-0.0001148088711802,-1.1480887118026526,-1.537129039564651,0.1245203730305481,ES.v.0
oos,timing_rONFH,paper_statistical,r_LH,2,1224,1224,1.0,-0.0001556828576956,-0.0392320801393091,-3.923208013930915,0.0414857254082895,4.148572540828954,-0.9456766093204176,0.4705882352941176,-0.1898394630254468,-0.0001556828576956,-1.5568285769567125,-2.084169738088113,0.0373518606585918,ES.v.0
oos,timing_agree_ONFH_ROD,paper_statistical,r_LH,2,1224,871,0.7116013071895425,-9.761261147713053e-05,-0.0245983780922368,-2.459837809223689,0.0345635990346515,3.4563599034651498,-0.7116845114299573,0.3382352941176471,-0.1210515875686166,-9.761261147713053e-05,-0.9761261147713052,-1.568476271031224,0.117028701201086,ES.v.0
oos,timing_rROD,paper_statistical,r_LH,2,1224,1224,1.0,-9.762293898949226e-05,-0.024600980625352,-2.460098062535205,0.0414712102484844,4.147121024848448,-0.5932062382059627,0.4763071895424836,-0.1831300617115975,-9.762293898949226e-05,-0.9762293898949226,-1.3073628742942225,0.1913352251887445,ES.v.0
oos,always_long,paper_statistical,r_LH,2,1224,1224,1.0,-0.0001677784778102,-0.042280176408172,-4.2280176408172085,0.0414864391606432,4.1486439160643265,-1.0191324505932005,0.4624183006535948,-0.1922919309713661,-0.0001677784778102,-1.677784778102067,-2.2460585275090064,0.024878182161903,ES.v.0
oos,timing_rONFH,paper_statistical,r_LH,3,1224,1224,1.0,-0.0002086524643256,-0.0525804210100543,-5.2580421010054375,0.0414885864639479,4.148858646394795,-1.2673466485956282,0.4607843137254901,-0.2344250929142535,-0.0002086524643256,-2.086524643256126,-2.793095976613545,0.0053020237124243,ES.v.0
oos,timing_agree_ONFH_ROD,paper_statistical,r_LH,3,1224,871,0.7116013071895425,-0.0001354652657409,-0.0341372469667286,-3.4137246966728605,0.0345730922436157,3.4573092243615795,-0.9873935118728736,0.3300653594771242,-0.1588549533329212,-0.0001354652657409,-1.3546526574098652,-2.1761093134246323,0.0297379669564492,ES.v.0
oos,timing_rROD,paper_statistical,r_LH,3,1224,1224,1.0,-0.0001505925456194,-0.0379493214960972,-3.7949321496097297,0.0414631558762474,4.1463155876247475,-0.9152540537281412,0.4648692810457516,-0.2086991545710498,-0.0001505925456194,-1.5059254561943372,-2.0171216911174987,0.0439009617561105,ES.v.0
oos,always_long,paper_statistical,r_LH,3,1224,1224,1.0,-0.0002207480844401,-0.0556285172789173,-5.562851727891735,0.0414917080380772,4.149170803807724,-1.340714082627465,0.4493464052287582,-0.2402316641860434,-0.0002207480844401,-2.2074808444014824,-2.9547899259650205,0.0031887178099472,ES.v.0
oos,timing_rONFH,executable_next_open,r_LH_executable,0,1224,1224,1.0,-5.1045299876812127e-05,-0.0128634155689566,-1.2863415568956655,0.0414933651361865,4.149336513618654,-0.3100113843921137,0.4861111111111111,-0.1336410002999363,-5.1045299876812127e-05,-0.5104529987681212,-0.6832318146022001,0.4945897806344623,ES.v.0
oos,timing_agree_ONFH_ROD,executable_next_open,r_LH_executable,0,1224,871,0.7116013071895425,-2.2345589633949017e-05,-0.0056310885877551,-0.5631088587755151,0.0345772272144319,3.4577227214431914,-0.1628554121136942,0.3488562091503268,-0.0740785328050029,-2.2345589633949017e-05,-0.2234558963394901,-0.358915847411244,0.7197199950241404,ES.v.0
